name,carrier,Region,bus,REZ Location,Fuel/Technology type,p_nom,Summer Rating (MW),Not Summer Rating (MW),Maintenance duration (%),Maximum Capacity Factor (%),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat Rate (GJ/MWh HHV s.o.),Fuel Cost ($/GJ),Emissions (kg/MWh),MLF,Auxiliary Load (%),marginal_cost,marginal_cost_3,expected_retirement_year,min_output,p_min_pu,control,type,p_nom_extendable,p_nom_min,p_nom_max,p_max_pu,p_set,q_set,sign,build_year,lifetime,capital_cost_total,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down
VIC WIND 2040,Wind,VIC,VIC,N/A,Wind,0,1,1,0,N/A,25.918,0,0,0,0,1,0.28,0,0,2100,0,0,PQ,,TRUE,0,inf,1,0,0,1,2040,30,1553000,51766.7,1,FALSE,0,,0,0,1,0,NaN,NaN
SA WIND 2040,Wind,SA,SA,N/A,Wind,0,1,1,0,N/A,25.918,0,0,0,0,1,0.28,0,0,2100,0,0,PQ,,TRUE,0,inf,1,0,0,1,2040,30,1553000,51766.7,1,FALSE,0,,0,0,1,0,NaN,NaN
TAS WIND 2040,Wind,TAS,TAS,N/A,Wind,0,1,1,0,N/A,25.918,0,0,0,0,1,0.28,0,0,2100,0,0,PQ,,TRUE,0,inf,1,0,0,1,2040,30,1553000,51766.7,1,FALSE,0,,0,0,1,0,NaN,NaN
CNQ HYDRO 2040,Hydro,QLD,CNQ,N/A,Hydro,0,1,1,0,N/A,25.918,0,0,0,0,1,0.28,0,0,2100,0,0,PQ,,TRUE,0,inf,1,0,0,1,2040,30,3433000,114433.3,1,FALSE,0,,0,0,1,0,NaN,NaN
GG HYDRO 2040,Hydro,QLD,GG,N/A,Hydro,0,1,1,0,N/A,25.918,0,0,0,0,1,0.28,0,0,2100,0,0,PQ,,TRUE,0,inf,1,0,0,1,2040,30,3433000,114433.3,1,FALSE,0,,0,0,1,0,NaN,NaN
SQ HYDRO 2040,Hydro,QLD,SQ,N/A,Hydro,0,1,1,0,N/A,25.918,0,0,0,0,1,0.28,0,0,2100,0,0,PQ,,TRUE,0,inf,1,0,0,1,2040,30,3433000,114433.3,1,FALSE,0,,0,0,1,0,NaN,NaN
NNSW HYDRO 2040,Hydro,NSW,NNSW,N/A,Hydro,0,1,1,0,N/A,25.918,0,0,0,0,1,0.28,0,0,2100,0,0,PQ,,TRUE,0,inf,1,0,0,1,2040,30,3433000,114433.3,1,FALSE,0,,0,0,1,0,NaN,NaN
CNSW HYDRO 2040,Hydro,NSW,CNSW,N/A,Hydro,0,1,1,0,N/A,25.918,0,0,0,0,1,0.28,0,0,2100,0,0,PQ,,TRUE,0,inf,1,0,0,1,2040,30,3433000,114433.3,1,FALSE,0,,0,0,1,0,NaN,NaN
SNW HYDRO 2040,Hydro,NSW,SNW,N/A,Hydro,0,1,1,0,N/A,25.918,0,0,0,0,1,0.28,0,0,2100,0,0,PQ,,TRUE,0,inf,1,0,0,1,2040,30,3433000,114433.3,1,FALSE,0,,0,0,1,0,NaN,NaN
SNSW HYDRO 2040,Hydro,NSW,SNSW,N/A,Hydro,0,1,1,0,N/A,25.918,0,0,0,0,1,0.28,0,0,2100,0,0,PQ,,TRUE,0,inf,1,0,0,1,2040,30,3433000,114433.3,1,FALSE,0,,0,0,1,0,NaN,NaN
VIC HYDRO 2040,Hydro,VIC,VIC,N/A,Hydro,0,1,1,0,N/A,25.918,0,0,0,0,1,0.28,0,0,2100,0,0,PQ,,TRUE,0,inf,1,0,0,1,2040,30,3433000,114433.3,1,FALSE,0,,0,0,1,0,NaN,NaN
SA HYDRO 2040,Hydro,SA,SA,N/A,Hydro,0,1,1,0,N/A,25.918,0,0,0,0,1,0.28,0,0,2100,0,0,PQ,,TRUE,0,inf,1,0,0,1,2040,30,3433000,114433.3,1,FALSE,0,,0,0,1,0,NaN,NaN
TAS HYDRO 2040,Hydro,TAS,TAS,N/A,Hydro,0,1,1,0,N/A,25.918,0,0,0,0,1,0.28,0,0,2100,0,0,PQ,,TRUE,0,inf,1,0,0,1,2040,30,3433000,114433.3,1,FALSE,0,,0,0,1,0,NaN,NaN
