name,bus0,bus1,type,carrier,efficiency,build_year,lifetime,p_nom,p_nom_extendable,p_nom_min,p_nom_max,p_set,p_min_pu,p_max_pu,capital_cost,marginal_cost,marginal_cost_quadratic,stand_by_cost,length,terrain_factor,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,p0,p1,p_nom_opt,status,mu_lower,mu_upper,mu_p_set,mu_ramp_limit_up,mu_ramp_limit_down
SQ - NNSW 3,SQ,NNSW,,AC,1,2035,inf,1080,FALSE,6,inf,0,0,1,0,0,0,0,0,1,FALSE,0,0,0,0,1,0,NaN,NaN,1,1,0,0,0,1,0,0,0,0,0
CNSW - NNSW 2,CNSW,NNSW,,AC,1,2035,inf,2035,FALSE,7,inf,0,0,1,0,0,0,0,0,1,FALSE,0,0,0,0,1,0,NaN,NaN,1,1,0,0,0,1,0,0,0,0,0
NNSW - CNSW 2,NNSW,CNSW,,AC,1,2035,inf,1660,FALSE,8,inf,0,0,1,0,0,0,0,0,1,FALSE,0,0,0,0,1,0,NaN,NaN,1,1,0,0,0,1,0,0,0,0,0
CNSW - SNW 2,CNSW,SNW,,AC,1,2035,inf,5000,FALSE,9,inf,0,0,1,0,0,0,0,0,1,FALSE,0,0,0,0,1,0,NaN,NaN,1,1,0,0,0,1,0,0,0,0,0
SNSW - CNSW 2,SNSW,CNSW,,AC,1,2027,inf,2200,FALSE,10,inf,0,0,1,0,0,0,0,0,1,FALSE,0,0,0,0,1,0,NaN,NaN,1,1,0,0,0,1,0,0,0,0,0
CNSW - SNSW 2,CNSW,SNSW,,AC,1,2027,inf,2200,FALSE,11,inf,0,0,1,0,0,0,0,0,1,FALSE,0,0,0,0,1,0,NaN,NaN,1,1,0,0,0,1,0,0,0,0,0
VIC - SNSW 2,VIC,SNSW,,AC,1,2035,inf,1930,FALSE,12,inf,0,0,1,0,0,0,0,0,1,FALSE,0,0,0,0,1,0,NaN,NaN,1,1,0,0,0,1,0,0,0,0,0
SNSW - VIC 2,SNSW,VIC,,AC,1,2035,inf,1800,FALSE,13,inf,0,0,1,0,0,0,0,0,1,FALSE,0,0,0,0,1,0,NaN,NaN,1,1,0,0,0,1,0,0,0,0,0
SA - SNSW 2,SA,SNSW,,AC,1,2027,inf,800,FALSE,14,inf,0,0,1,0,0,0,0,0,1,FALSE,0,0,0,0,1,0,NaN,NaN,1,1,0,0,0,1,0,0,0,0,0
SNSW - SA 2,SNSW,SA,,AC,1,2027,inf,800,FALSE,15,inf,0,0,1,0,0,0,0,0,1,FALSE,0,0,0,0,1,0,NaN,NaN,1,1,0,0,0,1,0,0,0,0,0
TAS - VIC 2,TAS,VIC,,AC,1,2030,inf,750,FALSE,16,inf,0,0,1,0,0,0,0,0,1,FALSE,0,0,0,0,1,0,NaN,NaN,1,1,0,0,0,1,0,0,0,0,0
VIC - TAS 2,VIC,TAS,,AC,1,2030,inf,750,FALSE,17,inf,0,0,1,0,0,0,0,0,1,FALSE,0,0,0,0,1,0,NaN,NaN,1,1,0,0,0,1,0,0,0,0,0
