Datetime,NEM NNSW SOLAR,NEM TAS SOLAR,NEM SQ WIND,NEM GG SOLAR,NEM VIC SOLAR,NEM CNQ WIND,NEM SNSW SOLAR,NEM VIC WIND,NEM SNW WIND,NEM TAS WIND,NEM CNSW SOLAR,NEM NNSW WIND,NEM SNSW WIND,NEM SNW SOLAR,NEM SA SOLAR,NEM SQ SOLAR,NEM SA WIND,NEM CNQ SOLAR,NEM GG WIND,NEM CNSW WIND,C&I NNSW SOLAR,C&I TAS SOLAR,C&I SQ WIND,C&I GG SOLAR,C&I VIC SOLAR,C&I CNQ WIND,C&I SNSW SOLAR,C&I VIC WIND,C&I SNW WIND,C&I TAS WIND,C&I CNSW SOLAR,C&I NNSW WIND,C&I SNSW WIND,C&I SNW SOLAR,C&I SA SOLAR,C&I SQ SOLAR,C&I SA WIND,C&I CNQ SOLAR,C&I GG WIND,C&I CNSW WIND
21/1/30 0:00,0,0,0.354,0,0,0.434,0,0.35,0.233,0.965,0,0.787,0.482,0,0,0,0.794,0,0.197,0.506,0,0,0.354,0,0,0.434,0,0.35,0.233,0.965,0,0.787,0.482,0,0,0,0.794,0,0.197,0.506
21/1/30 1:00,0,0,0.103,0,0,0.294,0,0.385,0.159,0.964,0,0.524,0.488,0,0,0,0.851,0,0.171,0.287,0,0,0.103,0,0,0.294,0,0.385,0.159,0.964,0,0.524,0.488,0,0,0,0.851,0,0.171,0.287
21/1/30 2:00,0,0,0.396,0,0,0.187,0,0.376,0.11,0.959,0,0.156,0.442,0,0,0,0.883,0,0.188,0.298,0,0,0.396,0,0,0.187,0,0.376,0.11,0.959,0,0.156,0.442,0,0,0,0.883,0,0.188,0.298
21/1/30 3:00,0,0,0.473,0,0,0.16,0,0.393,0.114,0.957,0,0.008,0.434,0,0,0,0.853,0,0.297,0.202,0,0,0.473,0,0,0.16,0,0.393,0.114,0.957,0,0.008,0.434,0,0,0,0.853,0,0.297,0.202
21/1/30 4:00,0,0,0.549,0,0,0.201,0,0.393,0.164,0.93,0,0.019,0.367,0,0,0,0.791,0,0.329,0.199,0,0,0.549,0,0,0.201,0,0.393,0.164,0.93,0,0.019,0.367,0,0,0,0.791,0,0.329,0.199
21/1/30 5:00,0.005,0.034,0.669,0,0.015,0.226,0.016,0.428,0.184,0.93,0.032,0.045,0.344,0.044,0,0.024,0.693,0,0.274,0.154,0.005,0.034,0.669,0,0.015,0.226,0.016,0.428,0.184,0.93,0.032,0.045,0.344,0.044,0,0.024,0.693,0,0.274,0.154
21/1/30 6:00,0.037,0.183,0.526,0.057,0.068,0.225,0.341,0.398,0.115,0.948,0.361,0.042,0.228,0.447,0.223,0.225,0.651,0.018,0.24,0.053,0.037,0.183,0.526,0.057,0.068,0.225,0.341,0.398,0.115,0.948,0.361,0.042,0.228,0.447,0.223,0.225,0.651,0.018,0.24,0.053
21/1/30 7:00,0.111,0.176,0.285,0.633,0.138,0.231,0.893,0.397,0.047,0.922,0.861,0.107,0.082,0.964,0.708,0.449,0.462,0.065,0.239,0.014,0.111,0.176,0.285,0.633,0.138,0.231,0.893,0.397,0.047,0.922,0.861,0.107,0.082,0.964,0.708,0.449,0.462,0.065,0.239,0.014
21/1/30 8:00,0.157,0.283,0.151,0.901,0.384,0.243,1,0.342,0.085,0.948,0.999,0.076,0.032,1,0.997,0.707,0.322,0.097,0.224,0.031,0.157,0.283,0.151,0.901,0.384,0.243,1,0.342,0.085,0.948,0.999,0.076,0.032,1,0.997,0.707,0.322,0.097,0.224,0.031
21/1/30 9:00,0.168,0.322,0.176,0.985,0.673,0.218,1,0.329,0.066,0.947,0.953,0.056,0.029,1,1,0.69,0.249,0.161,0.157,0.057,0.168,0.322,0.176,0.985,0.673,0.218,1,0.329,0.066,0.947,0.953,0.056,0.029,1,1,0.69,0.249,0.161,0.157,0.057
21/1/30 10:00,0.238,0.498,0.174,0.948,0.901,0.257,1,0.329,0.118,0.933,0.948,0.058,0.014,1,1,0.561,0.18,0.391,0.133,0.096,0.238,0.498,0.174,0.948,0.901,0.257,1,0.329,0.118,0.933,0.948,0.058,0.014,1,1,0.561,0.18,0.391,0.133,0.096
21/1/30 11:00,0.329,0.589,0.154,0.799,0.985,0.267,1,0.425,0.179,0.958,0.986,0.067,0.01,1,1,0.478,0.142,0.252,0.118,0.136,0.329,0.589,0.154,0.799,0.985,0.267,1,0.425,0.179,0.958,0.986,0.067,0.01,1,1,0.478,0.142,0.252,0.118,0.136
21/1/30 12:00,0.294,0.68,0.1,0.527,1,0.236,1,0.436,0.274,0.927,1,0.082,0.037,1,1,0.385,0.109,0.044,0.073,0.139,0.294,0.68,0.1,0.527,1,0.236,1,0.436,0.274,0.927,1,0.082,0.037,1,1,0.385,0.109,0.044,0.073,0.139
21/1/30 13:00,0.319,0.672,0.024,0.764,1,0.266,1,0.388,0.28,0.924,1,0.088,0.112,1,1,0.246,0.082,0.06,0.059,0.11,0.319,0.672,0.024,0.764,1,0.266,1,0.388,0.28,0.924,1,0.088,0.112,1,1,0.246,0.082,0.06,0.059,0.11
21/1/30 14:00,0.18,0.723,0.066,0.681,1,0.311,1,0.556,0.325,0.899,1,0.084,0.156,1,1,0.202,0.051,0.055,0.086,0.146,0.18,0.723,0.066,0.681,1,0.311,1,0.556,0.325,0.899,1,0.084,0.156,1,1,0.202,0.051,0.055,0.086,0.146
21/1/30 15:00,0.295,0.837,0.046,0.449,1,0.316,1,0.583,0.378,0.883,1,0.158,0.209,1,1,0.11,0.052,0.099,0.129,0.22,0.295,0.837,0.046,0.449,1,0.316,1,0.583,0.378,0.883,1,0.158,0.209,1,1,0.11,0.052,0.099,0.129,0.22
21/1/30 16:00,0.136,0.973,0.036,0.113,0.874,0.306,1,0.582,0.44,0.898,0.969,0.247,0.199,1,1,0.059,0.038,0.081,0.186,0.244,0.136,0.973,0.036,0.113,0.874,0.306,1,0.582,0.44,0.898,0.969,0.247,0.199,1,1,0.059,0.038,0.081,0.186,0.244
21/1/30 17:00,0.233,0.815,0.119,0.139,0.929,0.311,0.885,0.654,0.592,0.445,0.707,0.254,0.274,0.742,1,0.023,0.036,0.049,0.228,0.204,0.233,0.815,0.119,0.139,0.929,0.311,0.885,0.654,0.592,0.445,0.707,0.254,0.274,0.742,1,0.023,0.036,0.049,0.228,0.204
21/1/30 18:00,0.139,0.326,0.332,0.035,0.367,0.365,0.36,0.67,0.433,0.041,0.241,0.335,0.418,0.265,0.49,0.009,0.053,0.017,0.258,0.16,0.139,0.326,0.332,0.035,0.367,0.365,0.36,0.67,0.433,0.041,0.241,0.335,0.418,0.265,0.49,0.009,0.053,0.017,0.258,0.16
21/1/30 19:00,0,0.028,0.632,0,0.033,0.438,0.018,0.677,0.338,0.346,0,0.458,0.567,0.003,0.051,0,0.148,0,0.067,0.17,0,0.028,0.632,0,0.033,0.438,0.018,0.677,0.338,0.346,0,0.458,0.567,0.003,0.051,0,0.148,0,0.067,0.17
21/1/30 20:00,0,0,0.832,0,0,0.484,0,0.595,0.666,0.455,0,0.709,0.661,0,0,0,0.307,0,0.033,0.244,0,0,0.832,0,0,0.484,0,0.595,0.666,0.455,0,0.709,0.661,0,0,0,0.307,0,0.033,0.244
21/1/30 21:00,0,0,0.867,0,0,0.48,0,0.507,0.708,0.729,0,0.793,0.54,0,0,0,0.294,0,0.042,0.383,0,0,0.867,0,0,0.48,0,0.507,0.708,0.729,0,0.793,0.54,0,0,0,0.294,0,0.042,0.383
21/1/30 22:00,0,0,0.878,0,0,0.284,0,0.501,0.629,0.95,0,0.808,0.487,0,0,0,0.641,0,0.15,0.487,0,0,0.878,0,0,0.284,0,0.501,0.629,0.95,0,0.808,0.487,0,0,0,0.641,0,0.15,0.487
21/1/30 23:00,0,0,0.859,0,0,0.176,0,0.461,0.553,0.931,0,0.85,0.584,0,0,0,0.872,0,0.322,0.464,0,0,0.859,0,0,0.176,0,0.461,0.553,0.931,0,0.85,0.584,0,0,0,0.872,0,0.322,0.464
22/1/30 0:00,0,0,0.801,0,0,0.193,0,0.513,0.384,0.973,0,0.824,0.613,0,0,0,0.848,0,0.36,0.38,0,0,0.801,0,0,0.193,0,0.513,0.384,0.973,0,0.824,0.613,0,0,0,0.848,0,0.36,0.38
22/1/30 1:00,0,0,0.745,0,0,0.189,0,0.614,0.447,0.973,0,0.474,0.562,0,0,0,0.876,0,0.271,0.322,0,0,0.745,0,0,0.189,0,0.614,0.447,0.973,0,0.474,0.562,0,0,0,0.876,0,0.271,0.322
22/1/30 2:00,0,0,0.497,0,0,0.121,0,0.699,0.572,0.969,0,0.052,0.433,0,0,0,0.878,0,0.214,0.273,0,0,0.497,0,0,0.121,0,0.699,0.572,0.969,0,0.052,0.433,0,0,0,0.878,0,0.214,0.273
22/1/30 3:00,0,0,0.287,0,0,0.079,0,0.672,0.645,0.946,0,0.088,0.368,0,0,0,0.905,0,0.211,0.185,0,0,0.287,0,0,0.079,0,0.672,0.645,0.946,0,0.088,0.368,0,0,0,0.905,0,0.211,0.185
22/1/30 4:00,0,0,0.318,0,0,0.066,0,0.635,0.72,0.905,0,0.083,0.38,0,0,0,0.895,0,0.239,0.312,0,0,0.318,0,0,0.066,0,0.635,0.72,0.905,0,0.083,0.38,0,0,0,0.895,0,0.239,0.312
22/1/30 5:00,0.038,0.05,0.294,0,0.009,0.068,0.015,0.644,0.677,0.842,0.037,0.075,0.361,0.041,0,0.021,0.879,0,0.167,0.43,0.038,0.05,0.294,0,0.009,0.068,0.015,0.644,0.677,0.842,0.037,0.075,0.361,0.041,0,0.021,0.879,0,0.167,0.43
22/1/30 6:00,0.367,0.159,0.197,0.098,0.231,0.064,0.35,0.51,0.423,0.786,0.453,0.124,0.306,0.456,0.161,0.143,0.788,0.045,0.101,0.413,0.367,0.159,0.197,0.098,0.231,0.064,0.35,0.51,0.423,0.786,0.453,0.124,0.306,0.456,0.161,0.143,0.788,0.045,0.101,0.413
22/1/30 7:00,0.88,0.499,0.107,0.299,0.593,0.05,0.908,0.408,0.092,0.659,0.988,0.175,0.353,0.964,0.344,0.455,0.525,0.165,0.083,0.38,0.88,0.499,0.107,0.299,0.593,0.05,0.908,0.408,0.092,0.659,0.988,0.175,0.353,0.964,0.344,0.455,0.525,0.165,0.083,0.38
22/1/30 8:00,1,0.683,0.046,0.884,0.998,0.032,1,0.288,0.008,0.53,1,0.188,0.263,1,0.505,0.581,0.412,0.196,0.05,0.404,1,0.683,0.046,0.884,0.998,0.032,1,0.288,0.008,0.53,1,0.188,0.263,1,0.505,0.581,0.412,0.196,0.05,0.404
22/1/30 9:00,1,0.78,0.029,0.959,1,0.039,1,0.205,0.005,0.484,1,0.181,0.235,1,0.907,0.865,0.33,0.376,0.026,0.187,1,0.78,0.029,0.959,1,0.039,1,0.205,0.005,0.484,1,0.181,0.235,1,0.907,0.865,0.33,0.376,0.026,0.187
22/1/30 10:00,1,0.971,0.014,0.986,1,0.046,1,0.198,0.005,0.432,0.996,0.127,0.211,1,1,0.978,0.231,0.7,0.015,0.072,1,0.971,0.014,0.986,1,0.046,1,0.198,0.005,0.432,0.996,0.127,0.211,1,1,0.978,0.231,0.7,0.015,0.072
22/1/30 11:00,1,0.965,0.031,0.953,1,0.113,1,0.21,0.004,0.357,0.989,0.109,0.171,1,1,1,0.141,0.69,0.008,0.057,1,0.965,0.031,0.953,1,0.113,1,0.21,0.004,0.357,0.989,0.109,0.171,1,1,1,0.141,0.69,0.008,0.057
22/1/30 12:00,1,0.996,0.024,0.899,1,0.194,1,0.286,0.014,0.335,0.994,0.083,0.185,1,1,1,0.102,0.603,0.041,0.07,1,0.996,0.024,0.899,1,0.194,1,0.286,0.014,0.335,0.994,0.083,0.185,1,1,1,0.102,0.603,0.041,0.07
22/1/30 13:00,1,0.997,0.065,0.874,1,0.241,1,0.335,0.047,0.341,0.954,0.104,0.171,1,1,0.992,0.083,0.685,0.053,0.179,1,0.997,0.065,0.874,1,0.241,1,0.335,0.047,0.341,0.954,0.104,0.171,1,1,0.992,0.083,0.685,0.053,0.179
22/1/30 14:00,1,1,0.099,0.946,1,0.24,1,0.433,0.038,0.381,0.926,0.368,0.133,1,1,0.984,0.064,0.51,0.06,0.538,1,1,0.099,0.946,1,0.24,1,0.433,0.038,0.381,0.926,0.368,0.133,1,1,0.984,0.064,0.51,0.06,0.538
22/1/30 15:00,1,1,0.147,0.932,1,0.293,1,0.589,0.004,0.398,0.948,0.628,0.103,1,1,0.865,0.088,0.276,0.058,0.787,1,1,0.147,0.932,1,0.293,1,0.589,0.004,0.398,0.948,0.628,0.103,1,1,0.865,0.088,0.276,0.058,0.787
22/1/30 16:00,0.995,0.956,0.11,0.936,1,0.384,1,0.614,0.001,0.385,0.922,0.821,0.105,1,1,0.878,0.1,0.197,0.042,0.77,0.995,0.956,0.11,0.936,1,0.384,1,0.614,0.001,0.385,0.922,0.821,0.105,1,1,0.878,0.1,0.197,0.042,0.77
22/1/30 17:00,0.68,0.965,0.065,0.649,0.994,0.473,0.894,0.571,0.013,0.38,0.65,0.899,0.124,0.754,1,0.494,0.156,0.084,0.054,0.801,0.68,0.965,0.065,0.649,0.994,0.473,0.894,0.571,0.013,0.38,0.65,0.899,0.124,0.754,1,0.494,0.156,0.084,0.054,0.801
22/1/30 18:00,0.17,0.4,0.04,0.129,0.458,0.439,0.37,0.523,0.378,0.401,0.192,0.915,0.258,0.269,0.485,0.053,0.226,0.035,0.055,0.916,0.17,0.4,0.04,0.129,0.458,0.439,0.37,0.523,0.378,0.401,0.192,0.915,0.258,0.269,0.485,0.053,0.226,0.035,0.055,0.916
22/1/30 19:00,0,0.035,0.412,0,0.049,0.443,0.019,0.568,0.81,0.427,0,0.911,0.535,0.002,0.045,0,0.365,0,0.038,0.932,0,0.035,0.412,0,0.049,0.443,0.019,0.568,0.81,0.427,0,0.911,0.535,0.002,0.045,0,0.365,0,0.038,0.932
22/1/30 20:00,0,0,0.891,0,0,0.426,0,0.623,0.689,0.322,0,0.9,0.777,0,0,0,0.504,0,0.097,0.852,0,0,0.891,0,0,0.426,0,0.623,0.689,0.322,0,0.9,0.777,0,0,0,0.504,0,0.097,0.852
22/1/30 21:00,0,0,0.907,0,0,0.462,0,0.712,0.548,0.241,0,0.917,0.86,0,0,0,0.491,0,0.089,0.924,0,0,0.907,0,0,0.462,0,0.712,0.548,0.241,0,0.917,0.86,0,0,0,0.491,0,0.089,0.924
22/1/30 22:00,0,0,0.911,0,0,0.405,0,0.78,0.478,0.173,0,0.888,0.792,0,0,0,0.575,0,0.067,0.943,0,0,0.911,0,0,0.405,0,0.78,0.478,0.173,0,0.888,0.792,0,0,0,0.575,0,0.067,0.943
22/1/30 23:00,0,0,0.893,0,0,0.326,0,0.809,0.496,0.157,0,0.925,0.71,0,0,0,0.53,0,0.072,0.924,0,0,0.893,0,0,0.326,0,0.809,0.496,0.157,0,0.925,0.71,0,0,0,0.53,0,0.072,0.924
23/1/30 0:00,0,0,0.896,0,0,0.283,0,0.802,0.558,0.168,0,0.894,0.719,0,0,0,0.566,0,0.046,0.924,0,0,0.896,0,0,0.283,0,0.802,0.558,0.168,0,0.894,0.719,0,0,0,0.566,0,0.046,0.924
23/1/30 1:00,0,0,0.87,0,0,0.205,0,0.764,0.554,0.177,0,0.868,0.713,0,0,0,0.606,0,0.073,0.935,0,0,0.87,0,0,0.205,0,0.764,0.554,0.177,0,0.868,0.713,0,0,0,0.606,0,0.073,0.935
23/1/30 2:00,0,0,0.894,0,0,0.184,0,0.73,0.532,0.207,0,0.916,0.585,0,0,0,0.617,0,0.11,0.94,0,0,0.894,0,0,0.184,0,0.73,0.532,0.207,0,0.916,0.585,0,0,0,0.617,0,0.11,0.94
23/1/30 3:00,0,0,0.846,0,0,0.166,0,0.686,0.593,0.172,0,0.916,0.334,0,0,0,0.605,0,0.133,0.942,0,0,0.846,0,0,0.166,0,0.686,0.593,0.172,0,0.916,0.334,0,0,0,0.605,0,0.133,0.942
23/1/30 4:00,0,0,0.847,0,0,0.119,0,0.669,0.611,0.137,0,0.915,0.272,0,0,0,0.64,0,0.101,0.941,0,0,0.847,0,0,0.119,0,0.669,0.611,0.137,0,0.915,0.272,0,0,0,0.64,0,0.101,0.941
23/1/30 5:00,0.044,0.045,0.849,0,0.01,0.134,0.014,0.6,0.531,0.111,0.03,0.877,0.327,0.039,0,0.042,0.66,0,0.075,0.941,0.044,0.045,0.849,0,0.01,0.134,0.014,0.6,0.531,0.111,0.03,0.877,0.327,0.039,0,0.042,0.66,0,0.075,0.941
23/1/30 6:00,0.444,0.496,0.843,0.016,0.285,0.094,0.344,0.509,0.307,0.093,0.336,0.725,0.307,0.447,0.177,0.375,0.62,0.034,0.082,0.905,0.444,0.496,0.843,0.016,0.285,0.094,0.344,0.509,0.307,0.093,0.336,0.725,0.307,0.447,0.177,0.375,0.62,0.034,0.082,0.905
23/1/30 7:00,0.972,1,0.843,0.093,0.772,0.06,0.898,0.29,0.175,0.043,0.765,0.592,0.163,0.991,0.619,0.809,0.516,0.056,0.05,0.919,0.972,1,0.843,0.093,0.772,0.06,0.898,0.29,0.175,0.043,0.765,0.592,0.163,0.991,0.619,0.809,0.516,0.056,0.05,0.919
23/1/30 8:00,0.961,1,0.819,0.246,1,0.022,1,0.125,0.071,0.02,0.853,0.384,0.217,1,0.918,0.899,0.439,0.247,0.011,0.842,0.961,1,0.819,0.246,1,0.022,1,0.125,0.071,0.02,0.853,0.384,0.217,1,0.918,0.899,0.439,0.247,0.011,0.842
23/1/30 9:00,0.935,1,0.799,0.597,1,0.016,1,0.04,0.027,0.001,0.848,0.282,0.121,1,1,0.963,0.343,0.519,0.005,0.553,0.935,1,0.799,0.597,1,0.016,1,0.04,0.027,0.001,0.848,0.282,0.121,1,1,0.963,0.343,0.519,0.005,0.553
23/1/30 10:00,0.915,1,0.736,0.72,1,0.018,1,0.01,0.011,0.003,0.844,0.182,0.101,1,0.936,0.988,0.198,0.649,0.009,0.226,0.915,1,0.736,0.72,1,0.018,1,0.01,0.011,0.003,0.844,0.182,0.101,1,0.936,0.988,0.198,0.649,0.009,0.226
23/1/30 11:00,0.938,1,0.609,0.783,1,0.012,1,0.011,0.002,0.004,0.869,0.093,0.077,1,0.999,0.967,0.094,0.53,0.009,0.107,0.938,1,0.609,0.783,1,0.012,1,0.011,0.002,0.004,0.869,0.093,0.077,1,0.999,0.967,0.094,0.53,0.009,0.107
23/1/30 12:00,0.936,1,0.453,0.529,1,0.017,1,0.022,0.003,0.007,0.874,0.042,0.043,1,1,0.95,0.05,0.763,0.003,0.047,0.936,1,0.453,0.529,1,0.017,1,0.022,0.003,0.007,0.874,0.042,0.043,1,1,0.95,0.05,0.763,0.003,0.047
23/1/30 13:00,0.974,1,0.379,0.317,1,0.05,1,0.018,0.011,0.019,0.855,0.034,0.035,1,0.998,0.91,0.032,0.364,0.005,0.035,0.974,1,0.379,0.317,1,0.05,1,0.018,0.011,0.019,0.855,0.034,0.035,1,0.998,0.91,0.032,0.364,0.005,0.035
23/1/30 14:00,0.921,1,0.37,0.405,1,0.158,1,0.006,0.044,0.015,0.797,0.051,0.042,1,1,0.92,0.03,0.134,0.008,0.064,0.921,1,0.37,0.405,1,0.158,1,0.006,0.044,0.015,0.797,0.051,0.042,1,1,0.92,0.03,0.134,0.008,0.064
23/1/30 15:00,0.91,1,0.477,0.398,1,0.237,1,0,0.077,0.036,0.802,0.095,0.038,1,1,0.865,0.043,0.183,0.004,0.205,0.91,1,0.477,0.398,1,0.237,1,0,0.077,0.036,0.802,0.095,0.038,1,1,0.865,0.043,0.183,0.004,0.205
23/1/30 16:00,0.859,1,0.644,0.45,1,0.304,0.995,0.018,0.1,0.142,0.838,0.149,0.036,1,1,0.74,0.077,0.028,0,0.338,0.859,1,0.644,0.45,1,0.304,0.995,0.018,0.1,0.142,0.838,0.149,0.036,1,1,0.74,0.077,0.028,0,0.338
23/1/30 17:00,0.551,0.997,0.803,0.207,0.972,0.43,0.854,0.412,0.09,0.198,0.599,0.188,0.037,0.717,0.993,0.451,0.115,0.032,0.002,0.389,0.551,0.997,0.803,0.207,0.972,0.43,0.854,0.412,0.09,0.198,0.599,0.188,0.037,0.717,0.993,0.451,0.115,0.032,0.002,0.389
23/1/30 18:00,0.149,0.45,0.884,0.05,0.451,0.528,0.327,0.84,0.057,0.107,0.173,0.393,0.04,0.267,0.464,0.043,0.169,0.013,0.003,0.593,0.149,0.45,0.884,0.05,0.451,0.528,0.327,0.84,0.057,0.107,0.173,0.393,0.04,0.267,0.464,0.043,0.169,0.013,0.003,0.593
23/1/30 19:00,0,0.038,0.892,0,0.04,0.496,0.019,0.728,0.033,0.104,0,0.807,0.069,0.002,0.051,0,0.236,0,0.004,0.811,0,0.038,0.892,0,0.04,0.496,0.019,0.728,0.033,0.104,0,0.807,0.069,0.002,0.051,0,0.236,0,0.004,0.811
23/1/30 20:00,0,0,0.905,0,0,0.446,0,0.828,0.026,0.055,0,0.92,0.159,0,0,0,0.358,0,0.02,0.828,0,0,0.905,0,0,0.446,0,0.828,0.026,0.055,0,0.92,0.159,0,0,0,0.358,0,0.02,0.828
23/1/30 21:00,0,0,0.915,0,0,0.432,0,0.871,0.015,0.004,0,0.822,0.335,0,0,0,0.376,0,0.029,0.876,0,0,0.915,0,0,0.432,0,0.871,0.015,0.004,0,0.822,0.335,0,0,0,0.376,0,0.029,0.876
23/1/30 22:00,0,0,0.927,0,0,0.447,0,0.889,0.002,0.002,0,0.741,0.613,0,0,0,0.325,0,0.111,0.918,0,0,0.927,0,0,0.447,0,0.889,0.002,0.002,0,0.741,0.613,0,0,0,0.325,0,0.111,0.918
23/1/30 23:00,0,0,0.913,0,0,0.411,0,0.848,0.136,0.002,0,0.54,0.663,0,0,0,0.296,0,0.522,0.928,0,0,0.913,0,0,0.411,0,0.848,0.136,0.002,0,0.54,0.663,0,0,0,0.296,0,0.522,0.928
24/1/30 0:00,0,0,0.925,0,0,0.33,0,0.588,0.763,0.002,0,0.317,0.597,0,0,0,0.396,0,0.665,0.908,0,0,0.925,0,0,0.33,0,0.588,0.763,0.002,0,0.317,0.597,0,0,0,0.396,0,0.665,0.908
24/1/30 1:00,0,0,0.926,0,0,0.276,0,0.217,0.771,0.055,0,0.21,0.551,0,0,0,0.425,0,0.591,0.939,0,0,0.926,0,0,0.276,0,0.217,0.771,0.055,0,0.21,0.551,0,0,0,0.425,0,0.591,0.939
24/1/30 2:00,0,0,0.929,0,0,0.205,0,0.064,0.76,0.16,0,0.179,0.588,0,0,0,0.364,0,0.482,0.879,0,0,0.929,0,0,0.205,0,0.064,0.76,0.16,0,0.179,0.588,0,0,0,0.364,0,0.482,0.879
24/1/30 3:00,0,0,0.937,0,0,0.158,0,0.035,0.781,0.304,0,0.153,0.597,0,0,0,0.348,0,0.402,0.742,0,0,0.937,0,0,0.158,0,0.035,0.781,0.304,0,0.153,0.597,0,0,0,0.348,0,0.402,0.742
24/1/30 4:00,0,0,0.873,0,0,0.073,0,0.039,0.676,0.488,0,0.118,0.649,0,0,0,0.381,0,0.406,0.574,0,0,0.873,0,0,0.073,0,0.039,0.676,0.488,0,0.118,0.649,0,0,0,0.381,0,0.406,0.574
24/1/30 5:00,0.036,0.047,0.776,0,0.011,0.035,0.014,0.125,0.7,0.459,0.041,0.108,0.59,0.036,0,0.03,0.331,0,0.337,0.393,0.036,0.047,0.776,0,0.011,0.035,0.014,0.125,0.7,0.459,0.041,0.108,0.59,0.036,0,0.03,0.331,0,0.337,0.393
24/1/30 6:00,0.251,0.252,0.682,0.067,0.26,0,0.279,0.226,0.509,0.369,0.327,0.05,0.571,0.433,0.16,0.238,0.239,0.06,0.352,0.143,0.251,0.252,0.682,0.067,0.26,0,0.279,0.226,0.509,0.369,0.327,0.05,0.571,0.433,0.16,0.238,0.239,0.06,0.352,0.143
24/1/30 7:00,0.735,0.778,0.526,0.447,0.685,0.005,0.877,0.202,0.383,0.174,0.753,0.007,0.402,0.974,0.678,0.595,0.154,0.557,0.261,0.03,0.735,0.778,0.526,0.447,0.685,0.005,0.877,0.202,0.383,0.174,0.753,0.007,0.402,0.974,0.678,0.595,0.154,0.557,0.261,0.03
24/1/30 8:00,0.783,1,0.312,0.365,1,0.014,1,0.203,0.302,0.109,0.854,0.002,0.306,1,0.974,0.573,0.107,0.889,0.14,0.022,0.783,1,0.312,0.365,1,0.014,1,0.203,0.302,0.109,0.854,0.002,0.306,1,0.974,0.573,0.107,0.889,0.14,0.022
24/1/30 9:00,0.948,0.973,0.265,0.891,1,0.034,1,0.16,0.289,0.06,0.986,0.007,0.181,1,1,0.648,0.078,0.931,0.069,0.037,0.948,0.973,0.265,0.891,1,0.034,1,0.16,0.289,0.06,0.986,0.007,0.181,1,1,0.648,0.078,0.931,0.069,0.037
24/1/30 10:00,0.999,0.922,0.216,0.958,1,0.057,1,0.169,0.246,0.046,0.975,0.018,0.128,1,1,0.633,0.078,0.918,0.026,0.096,0.999,0.922,0.216,0.958,1,0.057,1,0.169,0.246,0.046,0.975,0.018,0.128,1,1,0.633,0.078,0.918,0.026,0.096
24/1/30 11:00,0.953,0.933,0.203,0.866,1,0.053,0.991,0.201,0.205,0.05,0.996,0.04,0.138,0.997,1,0.634,0.061,0.742,0.014,0.166,0.953,0.933,0.203,0.866,1,0.053,0.991,0.201,0.205,0.05,0.996,0.04,0.138,0.997,1,0.634,0.061,0.742,0.014,0.166
24/1/30 12:00,0.918,0.876,0.175,0.755,1,0.062,0.993,0.191,0.146,0.085,0.989,0.101,0.129,0.997,1,0.605,0.002,0.825,0.013,0.178,0.918,0.876,0.175,0.755,1,0.062,0.993,0.191,0.146,0.085,0.989,0.101,0.129,0.997,1,0.605,0.002,0.825,0.013,0.178
24/1/30 13:00,0.824,0.837,0.167,0.845,1,0.101,0.943,0.138,0.108,0.221,0.97,0.161,0.092,0.94,0.998,0.758,0.023,0.68,0.014,0.209,0.824,0.837,0.167,0.845,1,0.101,0.943,0.138,0.108,0.221,0.97,0.161,0.092,0.94,0.998,0.758,0.023,0.68,0.014,0.209
24/1/30 14:00,0.778,0.823,0.191,0.85,1,0.348,0.934,0.112,0.111,0.272,0.871,0.142,0.126,0.832,1,0.678,0.268,0.584,0.016,0.203,0.778,0.823,0.191,0.85,1,0.348,0.934,0.112,0.111,0.272,0.871,0.142,0.126,0.832,1,0.678,0.268,0.584,0.016,0.203
24/1/30 15:00,0.837,0.671,0.278,0.583,1,0.557,0.985,0.105,0.117,0.243,0.674,0.096,0.478,0.67,1,0.558,0.571,0.996,0.016,0.164,0.837,0.671,0.278,0.583,1,0.557,0.985,0.105,0.117,0.243,0.674,0.096,0.478,0.67,1,0.558,0.571,0.996,0.016,0.164
24/1/30 16:00,0.846,0.6,0.4,0.666,0.969,0.587,0.977,0.227,0.143,0.221,0.616,0.066,0.548,0.821,1,0.655,0.567,0.489,0.009,0.157,0.846,0.6,0.4,0.666,0.969,0.587,0.977,0.227,0.143,0.221,0.616,0.066,0.548,0.821,1,0.655,0.567,0.489,0.009,0.157
24/1/30 17:00,0.557,0.399,0.601,0.271,0.785,0.533,0.844,0.266,0.205,0.106,0.412,0.057,0.399,0.457,0.996,0.468,0.405,0.434,0.028,0.129,0.557,0.399,0.601,0.271,0.785,0.533,0.844,0.266,0.205,0.106,0.412,0.057,0.399,0.457,0.996,0.468,0.405,0.434,0.028,0.129
24/1/30 18:00,0.082,0.318,0.821,0.06,0.254,0.52,0.327,0.377,0.35,0.124,0.112,0.101,0.273,0.185,0.472,0.06,0.308,0.061,0.072,0.141,0.082,0.318,0.821,0.06,0.254,0.52,0.327,0.377,0.35,0.124,0.112,0.101,0.273,0.185,0.472,0.06,0.308,0.061,0.072,0.141
