name,carrier,Region,bus,REZ Location,Fuel/Technology type,p_nom,Summer Rating (MW),Not Summer Rating (MW),Maintenance duration (%),Maximum Capacity Factor (%),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat Rate (GJ/MWh HHV s.o.),Fuel Cost ($/GJ),Emissions (kg/MWh),MLF,Auxiliary Load (%),marginal_cost,expected_retirement_year,min_output,p_min_pu,control,type,p_nom_extendable,p_nom_min,p_nom_max,p_max_pu,p_set,q_set,sign,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,p,q,p_nom_iot,status,mu_upper,mu_lower,mu_p_set,mu_ramp_limit_up,mu_ramp_limit_down
Moura Solar Farm,Solar,QLD,CNQ,Fitzroy,Solar,99,81.72,81.72,0,N/A,17.614,0,0,0,0,0.928,0.2,0,2057,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,57,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Munna Creek Solar Farm,Solar,QLD,SQ,Wide Bay,Solar,154,154,154,0,N/A,17.61375874,0,0,0,0,0.9797,0.2,0,2053,0,0,PQ,,FALSE,5,inf,1,0,0,1,2000,53,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Murray Bridge - Onkaparinga Pipeline Pump 2,Solar,SA,SA,South East SA,Solar,13.74,12.918,13.746,0,N/A,17.614,0,0,0,0,1.011,0.2,0,2041,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,41,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Nevertire Solar Farm,Solar,NSW,CNSW,Central-West Orana,Solar,104.64,104.64,104.64,0,N/A,17.614,0,0,0,0,0.944,0.2,0,2049,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,49,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
New England Solar Farm,Solar,NSW,NNSW,New England,Solar,400,400,400,0,N/A,17.614,0,0,0,0,0.871,0.2,0,2052,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,52,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Numurkah Solar Farm,Solar,VIC,VIC,Central North Vic,Solar,110.48,107.52,107.52,0,N/A,17.614,0,0,0,0,0.996,0.2,0,2044,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,44,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Nyngan Solar Plant,Solar,NSW,CNSW,Central-West Orana,Solar,102.025,102.025,102.025,0,N/A,17.614,0,0,0,0,0.99,0.2,0,2042,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,42,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Oakey 1 Solar Farm,Solar,QLD,SQ,Darling Downs,Solar,25,23.1,25,0,N/A,17.614,0,0,0,0,0.971,0.2,0,2043,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,43,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Oakey 2 Solar Farm,Solar,QLD,SQ,Darling Downs,Solar,55.64,52.312,54.99,0,N/A,17.614,0,0,0,0,0.971,0.2,0,2044,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,44,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Parkes Solar Farm,Solar,NSW,CNSW,N/A,Solar,50.5,50.5,50.5,0,N/A,17.614,0,0,0,0,0.892,0.2,0,2058,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,58,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Port Augusta Renewable Energy Park - Solar,Solar,SA,SA,Northern SA,Solar,79.2,79.2,79.2,0,N/A,17.614,0,0,0,0,0.96,0.2,0,2047,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,47,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Quorn Park Solar Farm,Solar,NSW,CNSW,N/A,Solar,80,80,80,0,N/A,17.61375874,0,0,0,0,0.8918,0.2,0,2053,0,0,PQ,,FALSE,11,inf,1,0,0,1,2000,53,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Riverina Solar Farm,Solar,NSW,SNSW,N/A,Solar,32.4,32.4,32.4,0,N/A,17.614,0,0,0,0,0.848,0.2,0,2046,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,46,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Rodds Bay Solar Farm,Solar,QLD,CNQ,Fitzroy,Solar,302.5,245.3,249.7,0,N/A,17.61375874,0,0,0,0,0.9276,0.2,0,2053,0,0,PQ,,FALSE,6,inf,1,0,0,1,2000,53,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Ross River Solar Farm,Solar,QLD,CNQ,Northern Qld,Solar,128,115.968,115.968,0,N/A,17.614,0,0,0,0,0.94,0.2,0,2043,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,43,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Rugby Run Solar Farm,Solar,QLD,CNQ,Isaac,Solar,65,65,65,0,N/A,17.614,0,0,0,0,0.916,0.2,0,2049,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,49,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Sebastopol Solar Farm,Solar,NSW,SNSW,Wagga Wagga,Solar,90,84.44,90,0,N/A,17.614,0,0,0,0,0.96,0.2,0,2052,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,52,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Sun Metals Corporation Solar Farm,Solar,QLD,CNQ,Northern Qld,Solar,143,119.6,119.6,0,N/A,17.614,0,0,0,0,1.002,0.2,0,2042,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,42,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Sunraysia Solar Farm,Solar,NSW,SNSW,South West NSW,Solar,228.8,199.68,164.32,0,N/A,17.614,0,0,0,0,0.807,0.2,0,2049,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,49,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Suntop Solar Farm,Solar,NSW,CNSW,Central-West Orana,Solar,150,150,150,0,N/A,17.614,0,0,0,0,0.99,0.2,0,2056,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,56,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Susan River Solar Farm,Solar,QLD,SQ,Wide Bay,Solar,85.26,75.019,75.019,0,N/A,17.614,0,0,0,0,0.98,0.2,0,2049,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,49,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Tailem Bend Solar Farm,Solar,SA,SA,South East SA,Solar,108,94.9968,94.9968,0,N/A,17.614,0,0,0,0,1.011,0.2,0,2049,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,49,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Wagga North Solar Farm,Solar,NSW,SNSW,Wagga Wagga,Solar,36.014,46.376,46.376,0,N/A,17.614,0,0,0,0,0.888,0.2,0,2050,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,50,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Walla Walla Solar Farm,Solar,NSW,SNSW,N/A,Solar,380,299.44,299.44,0,N/A,17.61375874,0,0,0,0,0.8875,0.2,0,2053,0,0,PQ,,FALSE,12,inf,1,0,0,1,2000,53,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Warwick Solar Farm - stage 1,Solar,QLD,SQ,Darling Downs,Solar,32.104,32.104,32.104,0,N/A,17.614,0,0,0,0,0.979,0.2,0,2046,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,46,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Warwick Solar Farm - stage 2,Solar,QLD,SQ,Darling Downs,Solar,32.104,32.104,32.104,0,N/A,17.614,0,0,0,0,0.979,0.2,0,2045,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,45,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Wellington Solar Farm,Solar,NSW,CNSW,Central-West Orana,Solar,211.2,0,0,0,N/A,17.614,0,0,0,0,0.944,0.2,0,2051,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,51,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Wemen Solar Farm,Solar,VIC,VIC,Murray River,Solar,97.5,82.368,87.984,0,N/A,17.614,0,0,0,0,0.863,0.2,0,2049,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,49,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
West Wyalong Solar Farm,Solar,NSW,SNSW,N/A,Solar,105.27,90.016,90.016,0,N/A,17.61375874,0,0,0,0,0.8875,0.2,0,2047,0,0,PQ,,FALSE,2,inf,1,0,0,1,2000,47,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Western Downs Green Power Hub,Solar,QLD,SQ,Darling Downs,Solar,400,394,400,0,N/A,17.614,0,0,0,0,0.976,0.2,0,2047,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,47,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
White Rock Solar Farm,Solar,NSW,NNSW,New England,Solar,20,20,20,0,N/A,17.614,0,0,0,0,0.871,0.2,0,2043,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,43,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Whitsunday Solar Farm,Solar,QLD,CNQ,Isaac,Solar,57.5,54.119,56.005,0,N/A,17.614,0,0,0,0,0.923,0.2,0,2048,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,48,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Winton Solar Farm,Solar,VIC,VIC,Central North Vic,Solar,85,0,0,0,N/A,17.614,0,0,0,0,0.996,0.2,0,2051,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,51,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Wollar Solar Farm,Solar,NSW,CNSW,N/A,Solar,280,280,280,0,N/A,17.61375874,0,0,0,0,0.9184,0.2,0,2053,0,0,PQ,,FALSE,3,inf,1,0,0,1,2000,53,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Woolooga Solar Farm,Solar,QLD,SQ,Wide Bay,Solar,222.5,157.53,175.953,0,N/A,17.614,0,0,0,0,0.98,0.2,0,2047,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,47,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Wunghnu Solar Farm,Solar,VIC,VIC,N/A,Solar,75,75,75,0,N/A,17.61375874,0,0,0,0,0.9963,0.2,0,2053,0,0,PQ,,FALSE,13,inf,1,0,0,1,2000,53,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Wyalong Solar Farm,Solar,NSW,SNSW,N/A,Solar,62.32,53.01,53.01,0,N/A,17.614,0,0,0,0,0.888,0.2,0,2058,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,58,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Yanco Solar Farm,Solar,NSW,SNSW,N/A,Solar,60,60,60,0,N/A,17.61375874,0,0,0,0,0.8875,0.2,0,2053,0,0,PQ,,FALSE,14,inf,1,0,0,1,2000,53,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Yarranlea Solar Farm,Solar,QLD,SQ,Darling Downs,Solar,102.96,102.96,102.96,0,N/A,17.614,0,0,0,0,0.979,0.2,0,2044,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,44,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Yatpool Solar Farm,Solar,VIC,VIC,Murray River,Solar,92.56,81,81,0,N/A,17.614,0,0,0,0,0.867,0.2,0,2050,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,50,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Ararat Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,240,75,240,0,N/A,25.918,0,0,0,0,0.899,0.28,0.01,2047,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,47,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Bald Hills Wind Farm,Wind,VIC,VIC,N/A,Wind,106.6,106.6,106.6,0,N/A,25.918,0,0,0,0,0.994,0.28,0.01,2040,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,40,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Bango 973 Wind Farm,Wind,NSW,SNSW,N/A,Wind,159,0,159,0,N/A,25.918,0,0,0,0,0.913,0.28,0.01,2050,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,50,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Bango 999 Wind Farm,Wind,NSW,SNSW,N/A,Wind,84.8,0,84.8,0,N/A,25.918,0,0,0,0,0.96,0.28,0.01,2050,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,50,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Berrybank Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,180.6,0,0,0,N/A,25.918,0,0,0,0,0.943,0.28,0.01,2050,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,50,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Boco Rock Wind Farm,Wind,NSW,SNSW,Cooma-Monaro,Wind,113,104.088,113.18,0,N/A,25.918,0,0,0,0,0.936,0.28,0.01,2040,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,40,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Bodangora Wind Farm,Wind,NSW,CNSW,Central-West Orana,Wind,113.19,113.19,113.19,0,N/A,25.918,0,0,0,0,0.958,0.28,0.01,2049,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,49,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Bulgana Green Power Hub - Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,204.4,204.4,204.4,0,N/A,25.918,0,0,0,0,0.895,0.28,0.01,2049,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,49,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Canunda Wind Farm,Wind,SA,SA,South East SA,Wind,46,46,46,0,N/A,25.918,0,0,0,0,0.994,0.28,0.01,2030,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,30,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Capital Wind Farm,Wind,NSW,SNSW,N/A,Wind,140.7,141,141,0,N/A,25.918,0,0,0,0,0.956,0.28,0.01,2040,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,40,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Cathedral Rocks Wind Farm,Wind,SA,SA,Eastern Eyre Peninsula,Wind,66,66,66,0,N/A,25.918,0,0,0,0,0.917,0.28,0.01,2030,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,30,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Cattle Hill Wind Farm,Wind,TAS,TAS,Central Highlands,Wind,144,144,144,0,N/A,25.918,0,0,0,0,0.981,0.28,0.01,2044,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,44,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Challicum Hills Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,52.5,53,53,0,N/A,25.918,0,0,0,0,0.97,0.28,0.01,2033,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,33,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Cherry Tree Wind Farm,Wind,VIC,VIC,N/A,Wind,57.6,57.6,57.6,0,N/A,25.918,0,0,0,0,0.996,0.28,0.01,2050,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,50,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Clements Gap Wind Farm,Wind,SA,SA,Mid-North SA,Wind,56.7,56.7,56.7,0,N/A,25.918,0,0,0,0,0.956,0.28,0.01,2039,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,39,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Collector Wind Farm,Wind,NSW,SNSW,N/A,Wind,226.8,0,0,0,N/A,25.918,0,0,0,0,0.959,0.28,0.01,2046,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,46,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Coopers Gap Wind Farm,Wind,QLD,SQ,Darling Downs,Wind,452.89,439.975,439.975,0,N/A,25.918,0,0,0,0,0.968,0.28,0.01,2044,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,44,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Crookwell 2 Wind Farm,Wind,NSW,SNSW,N/A,Wind,96.04,91,91,0,N/A,25.918,0,0,0,0,0.962,0.28,0.01,2043,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,43,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Crowlands Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,79.95,79.95,79.95,0,N/A,25.918,0,0,0,0,0.899,0.28,0.01,2049,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,49,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Crudine Ridge Wind Farm,Wind,NSW,CNSW,N/A,Wind,138,0,138.01,0,N/A,25.918,0,0,0,0,0.925,0.28,0.01,2041,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,41,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Cullerin Range Wind Farm,Wind,NSW,SNSW,N/A,Wind,30,30,30,0,N/A,25.918,0,0,0,0,0.908,0.28,0.01,2038,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,38,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Dulacca Wind Farm,Wind,QLD,SQ,Darling Downs,Wind,173,103.329,172.989,0,N/A,25.918,0,0,0,0,0.968,0.28,0.01,2053,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,53,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Dundonnell Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,336,216,336,0,N/A,25.918,0,0,0,0,0.979,0.28,0.01,2045,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,45,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Elaine Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,83.6,83.6,83.6,0,N/A,25.918,0,0,0,0,0.946,0.28,0.01,2049,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,49,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Granville Harbour Wind Farm,Wind,TAS,TAS,North West Tasmania,Wind,111.6,111.6,111.6,0,N/A,25.918,0,0,0,0,0.931,0.28,0.01,2055,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,55,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Gullen Range Wind Farm,Wind,NSW,SNSW,N/A,Wind,165.5,165.5,165.5,0,N/A,25.918,0,0,0,0,0.96,0.28,0.01,2100,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,100,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Gullen Range Wind Farm 2,Wind,NSW,SNSW,N/A,Wind,110.67,0,0,0,N/A,25.918,0,0,0,0,0.96,0.28,0.01,2120,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,120,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Gunning Wind Farm,Wind,NSW,SNSW,N/A,Wind,46.5,46.5,46.5,0,N/A,25.918,0,0,0,0,0.908,0.28,0.01,2036,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,36,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Hallett 4 North Brown Hill Wind Farm,Wind,SA,SA,Mid-North SA,Wind,132.3,88.2,131.985,0,N/A,25.918,0,0,0,0,0.957,0.28,0.01,2036,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,36,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Hallett 5 The Bluff Wind Farm,Wind,SA,SA,Mid-North SA,Wind,52.5,35,52.5,0,N/A,25.918,0,0,0,0,0.963,0.28,0.01,2036,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,36,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Hallett Stage 1 Brown Hill Wind Farm,Wind,SA,SA,Mid-North SA,Wind,94.5,63,94.5,0,N/A,25.918,0,0,0,0,0.963,0.28,0.01,2043,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,43,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Hallett Stage 2 Hallett Hill Wind Farm,Wind,SA,SA,Mid-North SA,Wind,71.4,47.6,71.4,0,N/A,25.918,0,0,0,0,0.961,0.28,0.01,2035,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,35,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Hornsdale Wind Farm Stage 1,Wind,SA,SA,Mid-North SA,Wind,102.4,100,100,0,N/A,25.918,0,0,0,0,0.952,0.28,0.01,2056,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,56,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Hornsdale Wind Farm Stage 2,Wind,SA,SA,Mid-North SA,Wind,102.4,100,100,0,N/A,25.918,0,0,0,0,0.952,0.28,0.01,2057,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,57,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Hornsdale Wind Farm Stage 3,Wind,SA,SA,Mid-North SA,Wind,112,108.99,108.99,0,N/A,25.918,0,0,0,0,0.952,0.28,0.01,2057,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,57,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Kaban Green Power Hub - Wind Farm,Wind,QLD,CNQ,Far North QLD,Wind,149.8,120.4,149.8,0,N/A,25.918,0,0,0,0,0.984,0.28,0.01,2048,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,48,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Kennedy Energy Park Wind Farm,Wind,QLD,CNQ,North Qld Clean Energy Hub,Wind,43.2,36,43.2,0,N/A,25.918,0,0,0,0,0.94,0.28,0.01,2045,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,45,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Kiata Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,31.05,27,31.05,0,N/A,25.918,0,0,0,0,0.902,0.28,0.01,2042,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,42,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Lake Bonney 1 Wind Farm,Wind,SA,SA,South East SA,Wind,80.5,81,81,0,N/A,25.918,0,0,0,0,0.98,0.28,0.01,2035,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,35,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Lake Bonney 2 Wind Farm,Wind,SA,SA,South East SA,Wind,159,159,159,0,N/A,25.918,0,0,0,0,0.98,0.28,0.01,2038,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,38,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Lake Bonney 3 Wind Farm,Wind,SA,SA,South East SA,Wind,39,39,39,0,N/A,25.918,0,0,0,0,0.98,0.28,0.01,2040,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,40,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Lincoln Gap Wind Farm - stage 1,Wind,SA,SA,Northern SA,Wind,126,126,126,0,N/A,25.918,0,0,0,0,0.967,0.28,0.01,2045,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,45,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Lincoln Gap Wind Farm - stage 2,Wind,SA,SA,Northern SA,Wind,86.4,86.4,86.4,0,N/A,25.918,0,0,0,0,0.967,0.28,0.01,2045,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,45,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Macarthur Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,420,420,420,0,N/A,25.918,0,0,0,0,0.975,0.28,0.01,2038,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,38,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Macintyre Wind Farm,Wind,QLD,SQ,Darling Downs,Wind,300,300,300,0,N/A,25.91783217,0,0,0,0,0.9683,0.28,0.01,2053,0,0,PQ,,FALSE,10,inf,1,0,0,1,2000,53,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Moorabool Wind Farm,Wind,VIC,VIC,Western Victoria,Wind,312,312,312,0,N/A,25.918,0,0,0,0,0.946,0.28,0.01,2044,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,44,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Mortlake South Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,157.5,157.5,157.5,0,N/A,25.91783217,0,0,0,0,0.8987,0.28,0.01,2053,0,0,PQ,,FALSE,9,inf,1,0,0,1,2000,53,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Mortons Lane Wind Farm,Wind,VIC,VIC,South West Victoria,Wind,19.5,20,20,0,N/A,25.918,0,0,0,0,1.004,0.28,0.01,2042,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,42,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Mount Emerald Wind Farm,Wind,QLD,CNQ,Far North QLD,Wind,180.518,166.95,180.465,0,N/A,25.918,0,0,0,0,0.984,0.28,0.01,2043,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,43,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Mount Millar Wind Farm,Wind,SA,SA,Eastern Eyre Peninsula,Wind,70,70,70,0,N/A,25.918,0,0,0,0,0.929,0.28,0.01,2035,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,35,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
