name,carrier,Region,bus,REZ Location,Fuel/Technology type,p_nom,Summer Rating (MW),Not Summer Rating (MW),Maintenance duration (%),Maximum Capacity Factor (%),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat Rate (GJ/MWh HHV s.o.),Fuel Cost ($/GJ),Emissions (kg/MWh),MLF,Auxiliary Load (%),marginal_cost,expected_retirement_year,min_output,p_min_pu,control,type,p_nom_extendable,p_nom_min,p_nom_max,p_max_pu,p_set,q_set,sign,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,p,q,p_nom_iot,status,mu_upper,mu_lower,mu_p_set,mu_ramp_limit_up,mu_ramp_limit_down
Aramara Solar Farm,Solar,QLD,SQ,Wide Bay,Solar,101.4,101.4,101.4,0,N/A,17.61375874,0,0,0,0,0.9797,0.2,0,2053,0,0,PQ,,FALSE,4,inf,1,0,0,1,2000,53,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Avonlie Solar Farm,Solar,NSW,SNSW,Wagga Wagga,Solar,254,189.98,189.98,0,N/A,17.614,0,0,0,0,0.888,0.2,0,2058,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,58,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Bannerton Solar Farm,Solar,VIC,VIC,Murray River,Solar,100,88,88,0,N/A,17.614,0,0,0,0,0.863,0.2,0,2049,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,49,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Beryl,Solar,NSW,CNSW,Central-West Orana,Solar,98.4,87,87,0,N/A,17.614,0,0,0,0,0.918,0.2,0,2049,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,49,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Bluegrass Solar Farm,Solar,QLD,SQ,Darling Downs,Solar,148,148,148,0,N/A,17.614,0,0,0,0,0.976,0.2,0,2057,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,57,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Bolivar Waste Water Treatment,Solar,SA,SA,N/A,Solar,11,10.575,11.25,0,N/A,17.614,0,0,0,0,1.001,0.2,0,2053,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,53,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Bomen Solar Farm,Solar,NSW,SNSW,Wagga Wagga,Solar,121,93.72,99.88,0,N/A,17.614,0,0,0,0,0.888,0.2,0,2050,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,50,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Broken Hill Solar Farm,Solar,NSW,SNSW,Broken Hill,Solar,53,53,53,0,N/A,17.614,0,0,0,0,0.795,0.2,0,2043,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,43,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Bungala one Solar Farm,Solar,SA,SA,Northern SA,Solar,135,101.52,108,0,N/A,17.614,0,0,0,0,0.96,0.2,0,2044,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,44,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Bungala Two Solar Farm,Solar,SA,SA,Northern SA,Solar,135,101.52,108,0,N/A,17.614,0,0,0,0,0.96,0.2,0,2044,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,44,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Childers Solar Farm,Solar,QLD,SQ,Wide Bay,Solar,55.87,55.87,55.87,0,N/A,17.614,0,0,0,0,0.98,0.2,0,2049,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,49,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Christies Beach Wastewater Treatment Plant,Solar,SA,SA,N/A,Solar,5,4.8,4.8,0,N/A,17.61375874,0,0,0,0,1.0113,0.2,0,2053,0,0,PQ,,FALSE,7,inf,1,0,0,1,2000,53,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Clare Solar Farm,Solar,QLD,CNQ,Northern Qld,Solar,110.4,95.22,99.981,0,N/A,17.614,0,0,0,0,0.92,0.2,0,2047,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,47,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Clermont Solar Farm,Solar,QLD,CNQ,Isaac,Solar,92.5,71.41,74.999,0,N/A,17.614,0,0,0,0,0.927,0.2,0,2049,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,49,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Cohuna Solar Farm,Solar,VIC,VIC,Murray River,Solar,31.103,27.265,27.265,0,N/A,17.614,0,0,0,0,0.913,0.2,0,2045,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,45,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Coleambally Solar Farm,Solar,NSW,SNSW,South West NSW,Solar,150.3,150.03,150.03,0,N/A,17.614,0,0,0,0,0.848,0.2,0,2038,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,38,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Collinsville Solar Farm,Solar,QLD,CNQ,Isaac,Solar,42.5,39.95,42.5,0,N/A,17.614,0,0,0,0,0.925,0.2,0,2044,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,44,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Columboola Solar Farm,Solar,QLD,SQ,Darling Downs,Solar,217.25,159.975,161.95,0,N/A,17.614,0,0,0,0,0.976,0.2,0,2046,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,46,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Corowa Solar Farm,Solar,NSW,SNSW,South West NSW,Solar,35.992,30.008,30.008,0,N/A,17.614,0,0,0,0,0.881,0.2,0,2051,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,51,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Darling Downs Solar Farm,Solar,QLD,SQ,Darling Downs,Solar,121,108.504,110,0,N/A,17.614,0,0,0,0,0.976,0.2,0,2036,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,36,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Darlington Point Solar Farm,Solar,NSW,SNSW,South West NSW,Solar,274.968,263.304,274.968,0,N/A,17.614,0,0,0,0,0.859,0.2,0,2055,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,55,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Daydream Solar Farm,Solar,QLD,CNQ,Isaac,Solar,167.75,145.79,149.999,0,N/A,17.614,0,0,0,0,0.927,0.2,0,2048,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,48,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Edenvale Solar Park,Solar,QLD,SQ,Darling Downs,Solar,146,146,146,0,N/A,17.614,0,0,0,0,0.976,0.2,0,2053,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,53,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Emerald Solar Farm,Solar,QLD,CNQ,N/A,Solar,72,0,0,0,N/A,17.614,0,0,0,0,0.924,0.2,0,2048,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,48,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Finley Solar Farm,Solar,NSW,SNSW,South West NSW,Solar,162.36,116.721,132.66,0,N/A,17.614,0,0,0,0,0.843,0.2,0,2049,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,49,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Gangarri Solar Farm,Solar,QLD,SQ,Darling Downs,Solar,162,119.88,119.88,0,N/A,17.614,0,0,0,0,0.976,0.2,0,2051,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,51,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Gannawarra Solar Farm,Solar,VIC,VIC,Murray River,Solar,55,47.762,50.006,0,N/A,17.614,0,0,0,0,0.913,0.2,0,2048,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,48,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Glenrowan West Solar Farm,Solar,VIC,VIC,Central North Vic,Solar,132,102.96,110.016,0,N/A,17.614,0,0,0,0,0.998,0.2,0,2051,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,51,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Goonumbla Solar Farm,Solar,NSW,CNSW,Central-West Orana,Solar,69.75,67.735,69.75,0,N/A,17.614,0,0,0,0,0.892,0.2,0,2050,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,50,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Gullen Range Solar Farm,Solar,NSW,SNSW,N/A,Solar,10,10,10,0,N/A,17.614,0,0,0,0,0.96,0.2,0,2100,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,100,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Gunnedah Solar Farm,Solar,NSW,NNSW,North West NSW,Solar,110,110,110,0,N/A,17.614,0,0,0,0,0.893,0.2,0,2056,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,56,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Hamilton Solar Farm,Solar,QLD,CNQ,Isaac,Solar,57.5,54.119,56.005,0,N/A,17.614,0,0,0,0,0.924,0.2,0,2048,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,48,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Happy Valley Reservoir,Solar,SA,SA,N/A,Solar,8,8.34,8.34,0,N/A,17.61375874,0,0,0,0,1.0113,0.2,0,2053,0,0,PQ,,FALSE,8,inf,1,0,0,1,2000,53,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Haughton Solar Farm,Solar,QLD,CNQ,Northern Qld,Solar,132.597,100.035,100.035,0,N/A,17.614,0,0,0,0,0.936,0.2,0,2049,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,49,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Hayman Solar Farm,Solar,QLD,CNQ,Isaac,Solar,57.75,47.838,50.001,0,N/A,17.614,0,0,0,0,0.927,0.2,0,2048,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,48,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Hillston Sun Farm,Solar,NSW,SNSW,South West NSW,Solar,85,76.52,85,0,N/A,17.614,0,0,0,0,0.976,0.2,0,2052,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,52,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Hughenden Solar Farm,Solar,QLD,CNQ,North Qld Clean Energy Hub,Solar,18,18,18,0,N/A,17.614,0,0,0,0,0.94,0.2,0,2048,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,48,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Jemalong Solar,Solar,NSW,CNSW,N/A,Solar,55,0,0,0,N/A,17.614,0,0,0,0,0.896,0.2,0,2050,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,50,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Junee Solar Farm,Solar,NSW,SNSW,Wagga Wagga,Solar,36.014,30.008,30.008,0,N/A,17.614,0,0,0,0,0.888,0.2,0,2050,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,50,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Karadoc Solar Farm,Solar,VIC,VIC,Murray River,Solar,102.98,90.06,90.06,0,N/A,17.614,0,0,0,0,0.867,0.2,0,2048,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,48,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Kennedy Energy Park Solar Farm,Solar,QLD,CNQ,North Qld Clean Energy Hub,Solar,15,15,15,0,N/A,17.614,0,0,0,0,0.94,0.2,0,2046,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,46,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Kiamal Solar Farm stage 1,Solar,VIC,VIC,Murray River,Solar,199.95,189.75,199.95,0,N/A,17.614,0,0,0,0,0.85,0.2,0,2049,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,49,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Kidston Solar Farm,Solar,QLD,CNQ,North Qld Clean Energy Hub,Solar,50,48.5,48.5,0,N/A,17.614,0,0,0,0,0.94,0.2,0,2037,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,37,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Lilyvale Solar Farm,Solar,QLD,CNQ,Isaac,Solar,118.4,97.532,99.974,0,N/A,17.614,0,0,0,0,0.928,0.2,0,2048,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,48,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Limondale Solar Farm 1,Solar,NSW,SNSW,South West NSW,Solar,220,207.1,220,0,N/A,17.614,0,0,0,0,0.807,0.2,0,2050,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,50,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Limondale Solar Farm 2,Solar,NSW,SNSW,South West NSW,Solar,28.98,28.994,28.994,0,N/A,17.614,0,0,0,0,0.799,0.2,0,2050,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,50,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Longreach Solar Farm,Solar,QLD,CNQ,Barcaldine,Solar,14,14,14,0,N/A,17.614,0,0,0,0,0.927,0.2,0,2043,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,43,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Manildra Solar Farm,Solar,NSW,CNSW,Central-West Orana,Solar,50,46.7,46.7,0,N/A,17.614,0,0,0,0,0.933,0.2,0,2048,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,48,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Mannum Adelaide Pumping Station No 2 - MAPL2 (Palmer),Solar,SA,SA,South East SA,Solar,16.8,15.792,16.8,0,N/A,17.614,0,0,0,0,1.011,0.2,0,2041,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,41,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
